date,description,amount,type,category,merchant,city
2024-04-22,ola cab ride,1050,credit,transport,Apollo Pharmacy,Hyderabad
2024-06-03,bus ticket,1650,debit,transport,MakeMyTrip,Delhi
2024-12-23,amazon purchase,390,debit,shopping,Zepto,Pune
2024-10-10,swiggy food order,2250,debit,food,Apple Music,Pune
2024-06-08,netflix subscription,390,credit,subscription,Dineout,Pune
2024-02-28,electricity bill payment,170,credit,bills,Vi,Bangalore
2024-06-07,gaming purchase,990,credit,subscription,RedBus,Mumbai
2024-08-10,restaurant dinner,1700,debit,food,Jio,Chennai
2024-06-16,netflix subscription,1920,debit,subscription,JioFiber,Pune
2024-12-06,gaming purchase,480,credit,food,Dineout,Pune
2024-12-29,prime video subscription,760,debit,subscription,State Transport,Delhi
2024-10-24,swiggy food order,1780,credit,food,Insider,Mumbai
2024-08-06,restaurant dinner,450,credit,food,Vi,Bangalore
2024-10-04,restaurant dinner,2750,credit,food,IndianOil,Delhi
2024-05-22,electricity bill payment,340,credit,bills,Apple Music,Mumbai
2024-06-01,bus ticket,2040,credit,transport,ACT Fibernet,Pune
2024-01-27,zomato food delivery,4610,credit,food,Prime Video,Mumbai
2024-02-04,pharmacy medicine purchase,1960,credit,subscription,Disney+,Mumbai
2024-08-25,internet bill payment,590,credit,bills,Amazon,Delhi
2024-07-16,petrol pump fuel,80,debit,transport,Steam,Delhi
2024-10-01,zomato food delivery,1590,credit,food,Jio,Pune
2024-11-24,diesel refill,280,debit,transport,Insider,Hyderabad
2024-04-26,prime video subscription,2500,credit,subscription,BookMyShow,Hyderabad
2024-08-07,grocery store purchase,1220,debit,shopping,MakeMyTrip,Hyderabad
2024-01-09,supermarket shopping,3870,debit,bills,MSEDCL,Delhi
2024-12-13,netflix subscription,2130,credit,fuel,Steam,Bangalore
2024-04-23,prime video subscription,2630,credit,subscription,Reliance Smart,Delhi
2024-12-12,amazon purchase,680,credit,shopping,ACT Fibernet,Chennai
2024-07-11,restaurant dinner,2650,credit,food,MSEDCL,Mumbai
2024-10-01,amazon purchase,1470,debit,bills,Airtel,Bangalore
2024-08-25,mobile recharge,1850,debit,grocery,Blinkit,Hyderabad
2024-10-06,netflix subscription,1670,credit,shopping,D-Mart,Delhi
2024-01-30,ola cab ride,650,credit,transport,BookMyShow,Delhi
2024-01-20,concert tickets,470,debit,transport,Ola,Delhi
2024-05-14,concert tickets,600,credit,grocery,Zepto,Hyderabad
2024-06-16,uber ride,350,credit,food,Insider,Mumbai
2024-09-29,uber ride,1060,credit,transport,Apollo Pharmacy,Mumbai
2024-06-24,gaming purchase,530,debit,bills,JioFiber,Pune
2024-09-09,supermarket shopping,1270,debit,entertainment,Apollo Pharmacy,Hyderabad
2024-05-04,gaming purchase,2230,credit,bills,Airtel,Hyderabad
2024-08-20,concert tickets,350,debit,grocery,BigBasket,Pune
2024-07-23,spotify premium,3910,credit,shopping,HPCL,Pune
2024-09-05,gaming purchase,490,debit,transport,Ola,Chennai
2024-10-06,zomato food delivery,1480,debit,food,Insider,Hyderabad
2024-05-03,bus ticket,2370,debit,transport,Steam,Hyderabad
2024-07-27,mobile recharge,1850,debit,bills,MSEDCL,Bangalore
2024-11-13,concert tickets,240,credit,food,Swiggy,Delhi
2024-07-28,bus ticket,1090,debit,transport,Netmeds,Bangalore
2024-01-17,grocery store purchase,580,credit,shopping,IndianOil,Chennai
2024-03-12,prime video subscription,990,credit,subscription,Spotify,Mumbai
2024-04-18,gaming purchase,610,debit,fuel,Shell,Pune
2024-10-23,supermarket shopping,2900,credit,bills,ACT Fibernet,Mumbai
2024-01-22,restaurant dinner,2460,debit,food,Insider,Mumbai
2024-03-19,pharmacy medicine purchase,660,debit,shopping,State Transport,Mumbai
2024-01-02,gaming purchase,350,debit,transport,RedBus,Hyderabad
2024-06-08,train booking,1540,debit,food,Zomato,Hyderabad
2024-03-16,flipkart shopping order,720,debit,shopping,HPCL,Mumbai
2024-03-14,mobile recharge,2180,credit,shopping,Shell,Chennai
2024-07-07,bus ticket,1770,debit,transport,BESCOM,Hyderabad
2024-11-17,zomato food delivery,190,credit,food,JioFiber,Mumbai
2024-10-14,supermarket shopping,490,debit,transport,IRCTC,Delhi
2024-03-11,grocery store purchase,1990,credit,shopping,Spotify,Bangalore
2024-02-16,diesel refill,110,debit,subscription,Netflix,Bangalore
2024-08-12,swiggy food order,170,debit,food,BPCL,Chennai
2024-05-21,grocery store purchase,940,debit,shopping,Amazon,Bangalore
2024-03-01,flipkart shopping order,380,credit,shopping,ACT Fibernet,Delhi
2024-04-11,ola cab ride,1340,debit,grocery,Steam,Delhi
2024-08-02,pharmacy medicine purchase,420,debit,shopping,BookMyShow,Chennai
2024-04-15,train booking,1280,debit,subscription,Prime Video,Bangalore
2024-06-02,train booking,610,debit,transport,RedBus,Hyderabad
2024-03-22,train booking,1390,debit,bills,PVR,Chennai
2024-12-27,prime video subscription,860,credit,bills,MSEDCL,Chennai
2024-05-20,swiggy food order,250,debit,food,Jio,Mumbai
2024-09-13,swiggy food order,1040,credit,food,Xbox,Pune
2024-04-25,train booking,870,credit,entertainment,PlayStation,Hyderabad
2024-01-31,internet bill payment,1420,debit,bills,MakeMyTrip,Pune
2024-01-24,prime video subscription,150,credit,subscription,HPCL,Bangalore
